b'04325',b'000050',1.0
b'04326',b'000050',1.0
b'04327',b'000050',1.0
b'04328',b'000057',1.0
b'04329',b'000048',1.0
b'04330',b'000053',1.0
b'04331',b'000057',1.0
b'04332',b'000065',1.0
b'04333',b'000056',1.0
b'04334',b'000069',1.0
b'04342',b'000063',1.25
b'04343',b'000057',1.25
b'04344',b'000065',1.25
b'04345',b'000061',1.25
b'04346',b'000063',1.25
b'04347',b'000059',1.25
b'04348',b'000056',1.25
b'04349',b'000050',1.25
b'04350',b'000064',1.25
b'04351',b'000079',1.25
b'04358',b'000082',1.5
b'04359',b'000057',1.5
b'04360',b'000077',1.5
b'04361',b'000079',1.5
b'04362',b'000087',1.5
b'04363',b'000070',1.5
b'04364',b'000069',1.5
b'04365',b'000066',1.5
b'04366',b'000089',1.5
b'04367',b'000066',1.5
b'04411',b'000064',1.75
b'04412',b'000082',1.75
b'04413',b'000078',1.75
b'04414',b'000083',1.75
b'04415',b'000078',1.75
b'04416',b'000071',1.75
b'04417',b'000079',1.75
b'04418',b'000068',1.75
b'04419',b'000076',1.75
b'04420',b'000079',1.75
b'04421',b'000096',2.0
b'04422',b'000071',2.0
b'04423',b'000070',2.0
b'04424',b'000077',2.0
b'04425',b'000073',2.0
b'04426',b'000088',2.0
b'04427',b'000078',2.0
b'04428',b'000077',2.0
b'04429',b'000080',2.0
b'04430',b'000087',2.0
b'04437',b'000083',2.25
b'04438',b'000082',2.25
b'04439',b'000085',2.25
b'04440',b'000098',2.25
b'04441',b'000088',2.25
b'04442',b'000105',2.25
b'04443',b'000104',2.25
b'04444',b'000093',2.25
b'04445',b'000098',2.25
b'04446',b'000109',2.25
b'04452',b'000096',2.5
b'04453',b'000107',2.5
b'04454',b'000103',2.5
b'04455',b'000104',2.5
b'04456',b'000093',2.5
b'04457',b'000108',2.5
b'04458',b'000132',2.5
b'04459',b'000075',2.5
b'04460',b'000085',2.5
b'04461',b'000122',2.5
b'04467',b'000107',2.75
b'04468',b'000105',2.75
b'04469',b'000122',2.75
b'04470',b'000110',2.75
b'04471',b'000103',2.75
b'04472',b'000100',2.75
b'04473',b'000092',2.75
b'04474',b'000105',2.75
b'04475',b'000123',2.75
b'04476',b'000120',2.75
b'04489',b'000101',3.0
b'04490',b'000109',3.0
b'04491',b'000105',3.0
b'04492',b'000106',3.0
b'04493',b'000111',3.0
b'04494',b'000108',3.0
b'04495',b'000112',3.0
b'04496',b'000085',3.0
b'04497',b'000106',3.0
b'04498',b'000088',3.0
b'04504',b'000108',3.25
b'04505',b'000097',3.25
b'04506',b'000115',3.25
b'04507',b'000103',3.25
b'04508',b'000106',3.25
b'04509',b'000085',3.25
b'04510',b'000109',3.25
b'04511',b'000106',3.25
b'04512',b'000106',3.25
b'04513',b'000102',3.25
b'04522',b'000094',3.5
b'04523',b'000103',3.5
b'04524',b'000101',3.5
b'04525',b'000096',3.5
b'04526',b'000093',3.5
b'04527',b'000088',3.5
b'04528',b'000125',3.5
b'04529',b'000101',3.5
b'04530',b'000090',3.5
b'04531',b'000091',3.5
b'04590',b'000101',3.75
b'04591',b'000078',3.75
b'04592',b'000091',3.75
b'04593',b'000111',3.75
b'04594',b'000101',3.75
b'04595',b'000094',3.75
b'04596',b'000091',3.75
b'04597',b'000085',3.75
b'04598',b'000075',3.75
b'04599',b'000085',3.75
b'04607',b'000073',4.0
b'04608',b'000084',4.0
b'04609',b'000080',4.0
b'04610',b'000086',4.0
b'04611',b'000080',4.0
b'04612',b'000077',4.0
b'04613',b'000079',4.0
b'04614',b'000079',4.0
b'04615',b'000060',4.0
b'04616',b'000073',4.0
b'04622',b'000069',4.25
b'04623',b'000060',4.25
b'04624',b'000079',4.25
b'04625',b'000077',4.25
b'04626',b'000075',4.25
b'04627',b'000068',4.25
b'04628',b'000080',4.25
b'04629',b'000066',4.25
b'04630',b'000063',4.25
b'04631',b'000067',4.25
b'04638',b'000072',4.5
b'04639',b'000060',4.5
b'04640',b'000063',4.5
b'04641',b'000067',4.5
b'04642',b'000075',4.5
b'04643',b'000071',4.5
b'04644',b'000060',4.5
b'04645',b'000065',4.5
b'04646',b'000059',4.5
b'04647',b'000069',4.5
b'04653',b'000050',4.75
b'04654',b'000074',4.75
b'04655',b'000053',4.75
b'04656',b'000046',4.75
b'04657',b'000046',4.75
b'04658',b'000057',4.75
b'04659',b'000041',4.75
b'04660',b'000042',4.75
b'04661',b'000058',4.75
b'04662',b'000056',4.75
b'04672',b'000048',5.0
b'04673',b'000040',5.0
b'04674',b'000046',5.0
b'04675',b'000037',5.0
b'04676',b'000054',5.0
b'04677',b'000046',5.0
b'04678',b'000053',5.0
b'04679',b'000043',5.0
b'04680',b'000044',5.0
b'04681',b'000049',5.0
b'04686',b'000034',5.25
b'04687',b'000035',5.25
b'04688',b'000034',5.25
b'04689',b'000048',5.25
b'04690',b'000042',5.25
b'04691',b'000038',5.25
b'04692',b'000042',5.25
b'04693',b'000056',5.25
b'04694',b'000040',5.25
b'04695',b'000042',5.25
b'04700',b'000049',5.5
b'04701',b'000039',5.5
b'04702',b'000040',5.5
b'04703',b'000045',5.5
b'04704',b'000041',5.5
b'04705',b'000025',5.5
b'04706',b'000039',5.5
b'04707',b'000062',5.5
b'04708',b'000035',5.5
b'04709',b'000042',5.5
b'04718',b'000026',5.75
